iter	Passed	Remaining
340	4837	5092
341	4853	5080
342	4870	5069
343	4886	5056
344	4901	5043
345	4916	5029
346	4929	5014
347	4941	4997
348	4954	4983
349	4969	4969
350	4984	4955
351	4998	4941
352	5010	4925
353	5023	4910
354	5036	4895
355	5049	4879
356	5065	4866
357	5080	4853
358	5096	4841
359	5110	4826
360	5123	4811
361	5137	4796
362	5152	4783
363	5168	4770
364	5183	4757
365	5199	4744
366	5219	4735
367	5239	4726
368	5257	4715
369	5278	4707
370	5301	4701
371	5316	4687
372	5331	4673
373	5345	4659
374	5362	4647
375	5367	4625
376	5387	4615
377	5403	4603
378	5417	4588
379	5435	4577
380	5449	4562
381	5465	4549
382	5481	4536
383	5500	4526
384	5523	4519
385	5543	4509
386	5563	4499
387	5580	4487
388	5597	4475
389	5615	4463
390	5635	4453
391	5652	4441
392	5670	4429
393	5690	4419
394	5707	4406
395	5724	4394
396	5740	4380
397	5760	4370
398	5778	4359
399	5802	4351
400	5822	4341
401	5840	4329
402	5862	4320
403	5882	4309
404	5909	4304
405	5926	4291
406	5943	4278
407	5963	4267
408	5981	4255
409	5996	4241
410	6012	4227
411	6028	4214
412	6045	4201
413	6061	4187
414	6081	4176
415	6096	4162
416	6112	4148
417	6127	4134
418	6142	4119
419	6157	4104
420	6172	4090
421	6185	4074
422	6198	4059
423	6213	4044
424	6228	4030
425	6243	4015
426	6257	4000
427	6272	3986
428	6289	3972
429	6306	3959
430	6321	3945
431	6340	3933
432	6361	3922
433	6377	3908
434	6393	3894
435	6409	3880
436	6424	3866
437	6440	3852
438	6454	3837
439	6470	3823
440	6488	3810
441	6504	3796
442	6521	3783
443	6540	3771
444	6562	3760
445	6580	3747
446	6598	3734
447	6617	3722
448	6635	3709
449	6653	3696
450	6669	3682
451	6684	3667
452	6700	3653
453	6718	3640
454	6733	3625
455	6750	3612
456	6769	3599
457	6787	3586
458	6803	3572
459	6821	3558
460	6840	3546
461	6861	3534
462	6884	3524
463	6901	3510
464	6918	3496
465	6934	3482
466	6950	3467
467	6966	3453
468	6981	3438
469	6996	3423
470	7016	3411
471	7039	3400
472	7056	3386
473	7079	3375
474	7101	3363
475	7121	3351
476	7139	3337
477	7158	3324
478	7178	3312
479	7202	3301
480	7224	3289
481	7247	3277
482	7271	3266
483	7289	3253
484	7312	3241
485	7334	3229
486	7355	3217
487	7375	3204
488	7395	3191
489	7416	3178
490	7438	3166
491	7464	3155
492	7482	3141
493	7503	3128
494	7524	3116
495	7548	3104
496	7569	3091
497	7590	3078
498	7614	3067
499	7640	3056
500	7666	3045
501	7690	3033
502	7715	3021
503	7738	3009
504	7764	2998
505	7784	2984
506	7803	2970
507	7830	2959
508	7856	2948
509	7880	2935
510	7901	2922
511	7919	2907
512	7942	2895
513	7959	2880
514	7980	2866
515	8007	2855
516	8028	2841
517	8055	2830
518	8077	2816
519	8100	2804
520	8125	2791
521	8150	2779
522	8160	2761
523	8180	2747
524	8198	2732
525	8221	2719
526	8241	2705
527	8258	2690
528	8274	2674
529	8293	2660
530	8316	2646
531	8337	2632
532	8355	2617
533	8373	2603
534	8394	2588
535	8406	2572
536	8425	2557
537	8437	2540
538	8456	2526
539	8475	2511
540	8494	2496
541	8514	2482
542	8522	2464
543	8545	2450
544	8566	2436
545	8585	2421
546	8605	2407
547	8630	2393
548	8653	2380
549	8677	2366
550	8699	2352
551	8720	2338
552	8745	2324
553	8767	2310
554	8787	2295
555	8813	2282
556	8832	2267
557	8855	2253
558	8874	2238
559	8893	2223
560	8911	2208
561	8929	2192
562	8949	2177
563	8967	2162
564	8986	2147
565	9007	2132
566	9025	2117
567	9046	2102
568	9065	2087
569	9083	2071
570	9105	2057
571	9128	2042
572	9149	2027
573	9167	2012
574	9184	1996
575	9204	1981
576	9228	1967
577	9247	1951
578	9258	1934
579	9277	1919
580	9301	1905
581	9323	1890
582	9340	1874
583	9361	1859
584	9379	1843
585	9395	1827
586	9418	1813
587	9438	1797
588	9454	1781
589	9472	1765
590	9492	1750
591	9513	1735
592	9532	1719
593	9547	1703
594	9567	1688
595	9583	1672
596	9606	1657
597	9626	1642
598	9648	1626
599	9675	1612
600	9696	1597
601	9718	1582
602	9741	1567
603	9760	1551
604	9781	1535
605	9808	1521
606	9828	1505
607	9847	1490
608	9869	1474
609	9888	1458
610	9915	1444
611	9935	1428
612	9950	1412
613	9964	1395
614	9982	1379
615	9999	1363
616	10017	1347
617	10034	1331
618	10053	1315
619	10076	1300
620	10094	1284
621	10111	1268
622	10130	1252
623	10149	1236
624	10167	1220
625	10185	1204
626	10204	1188
627	10225	1172
628	10247	1156
629	10269	1141
630	10288	1125
631	10307	1109
632	10326	1092
633	10347	1077
634	10366	1061
635	10384	1045
636	10406	1029
637	10426	1013
638	10444	997
639	10463	980
640	10482	964
641	10499	948
642	10515	932
643	10532	915
644	10546	899
645	10563	883
646	10581	866
647	10599	850
648	10616	834
649	10636	818
650	10655	802
651	10675	785
652	10693	769
653	10712	753
654	10727	736
655	10745	720
656	10769	704
657	10791	688
658	10809	672
659	10827	656
660	10846	639
661	10865	623
662	10884	607
663	10902	591
664	10920	574
665	10939	558
666	10958	542
667	10972	525
668	10992	509
669	11017	493
670	11038	477
671	11058	460
672	11080	444
673	11100	428
674	11118	411
675	11139	395
676	11163	379
677	11182	362
678	11204	346
679	11213	329
680	11246	313
681	11271	297
682	11292	281
683	11315	264
684	11339	248
685	11363	231
686	11384	215
687	11409	198
688	11432	182
689	11455	166
690	11478	149
691	11501	132
692	11521	116
693	11545	99
694	11568	83
695	11590	66
696	11613	49
697	11635	33
698	11660	16
699	11680	0
