iter	RMSE
0	33.80741105
1	33.68767134
2	33.57649413
3	33.53574455
4	33.43745497
5	33.33938217
6	33.24872129
7	33.14998733
8	33.06084007
9	32.97618736
10	32.89698391
11	32.81873128
12	32.78972437
13	32.71686349
14	32.65701321
15	32.62696426
16	32.59759501
17	32.534209
18	32.50480147
19	32.47634118
20	32.45198959
21	32.42125964
22	32.35326182
23	32.29834577
24	32.26713116
25	32.24074324
26	32.21400983
27	32.18800236
28	32.12725101
29	32.09914912
30	32.0401921
31	31.97897846
32	31.92989488
33	31.90374557
34	31.84856332
35	31.82369149
36	31.80534007
37	31.78010817
38	31.75778068
39	31.69971565
40	31.6773498
41	31.65085838
42	31.62929301
43	31.60699715
44	31.55263054
45	31.52618888
46	31.48175601
47	31.46191947
48	31.44193305
49	31.42195144
50	31.40219144
51	31.38221812
52	31.36416343
53	31.31630512
54	31.29748049
55	31.27983718
56	31.23821902
57	31.22118817
58	31.20171287
59	31.1816991
60	31.16626784
61	31.12556603
62	31.10611427
63	31.06186058
64	31.04558257
65	31.00466204
66	30.98946721
67	30.95403497
68	30.9395658
69	30.92336914
70	30.9083538
71	30.89437079
72	30.85555416
73	30.82996638
74	30.81618634
75	30.80269909
76	30.78926114
77	30.76431243
78	30.72695616
79	30.71453145
80	30.70167686
81	30.68951555
82	30.65312237
83	30.62075212
84	30.60892315
85	30.59688962
86	30.58536908
87	30.55226987
88	30.52553363
89	30.51413499
90	30.48650222
91	30.47153719
92	30.46078743
93	30.45018761
94	30.41991081
95	30.41002088
96	30.3997283
97	30.38985591
98	30.35811189
99	30.33381177
100	30.32471399
101	30.3153231
102	30.28667731
103	30.27759582
104	30.26845904
105	30.24402711
106	30.22393987
107	30.21511185
108	30.20671183
109	30.18285879
110	30.1620796
111	30.15469666
112	30.12695736
113	30.10436255
114	30.09652283
115	30.0884339
116	30.07336395
117	30.06569225
118	30.05895843
119	30.03275009
120	30.02527723
121	30.0025413
122	29.9782915
123	29.96065337
124	29.94039838
125	29.9252427
126	29.91820617
127	29.8998226
128	29.87750481
129	29.85486587
130	29.84983277
131	29.84362187
132	29.83227502
133	29.82688814
134	29.80712581
135	29.80064245
136	29.78653321
137	29.78044506
138	29.75969216
139	29.73895275
140	29.72351274
141	29.70377451
142	29.68649437
143	29.6707937
144	29.66563004
145	29.66072219
146	29.64273043
147	29.62455382
148	29.61961148
149	29.61406014
150	29.61016595
151	29.60523428
152	29.58694947
153	29.58217584
154	29.56728356
155	29.55395237
156	29.5404827
157	29.52418669
158	29.50569375
159	29.48890226
160	29.47205444
161	29.46850756
162	29.45873613
163	29.454473
164	29.44169857
165	29.42503911
166	29.40863246
167	29.40573565
168	29.38895599
169	29.37084297
170	29.36653085
171	29.35367432
172	29.34930855
173	29.33649003
174	29.31326747
175	29.29964358
176	29.29663041
177	29.28998097
178	29.27383602
179	29.25836881
180	29.24142412
181	29.23268581
182	29.22972645
183	29.22666848
184	29.21631923
185	29.21297894
186	29.19272027
187	29.18154555
188	29.15991993
189	29.14768057
190	29.14216792
191	29.13061934
192	29.1270141
193	29.12337006
194	29.11471593
195	29.10156024
196	29.08074838
197	29.07376341
198	29.06517174
199	29.0535499
200	29.04811588
201	29.04561331
202	29.03673898
203	29.03376238
204	29.01609201
205	28.99920786
206	28.98942165
207	28.97408746
208	28.96451729
209	28.94767464
210	28.94508633
211	28.93338558
212	28.93136558
213	28.91537298
214	28.90637896
215	28.90090401
216	28.8881811
217	28.88612704
218	28.88427287
219	28.87580358
220	28.86276896
221	28.86051982
222	28.85683111
223	28.84904168
224	28.84697739
225	28.83308771
226	28.82907062
227	28.81820845
228	28.81549741
229	28.80898579
230	28.79684582
231	28.79428868
232	28.78948357
233	28.77788324
234	28.77287239
235	28.76742678
236	28.76503903
237	28.75380639
238	28.74814623
239	28.73941161
240	28.73039088
241	28.71819537
242	28.70773636
243	28.69805997
244	28.69553291
245	28.68924074
246	28.68788933
247	28.68008207
248	28.67352692
249	28.66919654
250	28.66120829
251	28.6590688
252	28.65310963
253	28.64807954
254	28.6369372
255	28.63490961
256	28.62658014
257	28.62503096
258	28.62009626
259	28.61859785
260	28.61643933
261	28.61020546
262	28.60225133
263	28.59200506
264	28.58704249
265	28.58524851
266	28.57758279
267	28.56619675
268	28.55716178
269	28.55090497
270	28.5460306
271	28.5381383
272	28.5307495
273	28.52265936
274	28.52092883
275	28.51911998
276	28.51679837
277	28.51335323
278	28.51221828
279	28.5016409
280	28.49513463
281	28.49403219
282	28.48691837
283	28.48527256
284	28.47976661
285	28.46659354
286	28.46478081
287	28.44998495
288	28.44619232
289	28.43982944
290	28.42791533
291	28.41972254
292	28.41135645
293	28.40353013
294	28.40242403
