iter	RMSE
295	28.39088461
296	28.38898076
297	28.37747666
298	28.37162793
299	28.37041988
300	28.3683694
301	28.36628106
302	28.36464614
303	28.3630858
304	28.35530476
305	28.34294754
306	28.33292672
307	28.32507902
308	28.32352721
309	28.31649117
310	28.30820842
311	28.30671416
312	28.30237774
313	28.30031773
314	28.29679867
315	28.28572168
316	28.28419123
317	28.27763021
318	28.27215657
319	28.2654119
320	28.2547201
321	28.24980201
322	28.24420684
323	28.23615901
324	28.23576351
325	28.23442357
326	28.226364
327	28.22164626
328	28.2145121
329	28.20344551
330	28.19755761
331	28.18559602
332	28.17949594
333	28.17563509
334	28.16594113
335	28.16432932
336	28.15584472
337	28.14674059
338	28.14416781
339	28.13591463
340	28.13437265
341	28.13354654
342	28.12343137
343	28.12224911
344	28.12085605
345	28.11409212
346	28.11137954
347	28.1088205
348	28.10343178
349	28.09195571
350	28.08730633
351	28.08621539
352	28.08519437
353	28.08173823
354	28.07735673
355	28.07641958
356	28.07015865
357	28.06111961
358	28.05372941
359	28.04993399
360	28.04740935
361	28.04196703
362	28.03257661
363	28.02715212
364	28.02621908
365	28.02412335
366	28.0150893
367	28.00485
368	27.99755303
369	27.99557402
370	27.98927315
371	27.98322523
372	27.97445069
373	27.97339271
374	27.96923086
375	27.96901132
376	27.96138114
377	27.95879175
378	27.95094412
379	27.94391913
380	27.94038421
381	27.93390835
382	27.92516867
383	27.91464875
384	27.90749379
385	27.90248237
386	27.89429289
387	27.88587654
388	27.87875314
389	27.87495693
390	27.87417125
391	27.87290516
392	27.87217374
393	27.86415929
394	27.86338929
395	27.86268823
396	27.8612381
397	27.85361946
398	27.85250826
399	27.84484222
400	27.83729338
401	27.83465839
402	27.83284276
403	27.82703929
404	27.81805627
405	27.81387228
406	27.81281437
407	27.80442661
408	27.79554676
409	27.79292377
410	27.78593336
411	27.77608244
412	27.76876159
413	27.7627799
414	27.76183319
415	27.75509853
416	27.74875345
417	27.74359339
418	27.74293351
419	27.73786548
420	27.73113168
421	27.73023564
422	27.72819442
423	27.72724804
424	27.72066346
425	27.71570647
426	27.71499012
427	27.71427176
428	27.70800224
429	27.70063696
430	27.70016239
431	27.69378655
432	27.6883193
433	27.68765055
434	27.68148295
435	27.67800176
436	27.67094342
437	27.66701758
438	27.66636215
439	27.66578321
440	27.6599749
441	27.65939574
442	27.65352966
443	27.65266294
444	27.64997947
445	27.64232776
446	27.64015977
447	27.63369472
448	27.62649553
449	27.62585361
450	27.62419412
451	27.6237236
452	27.6196264
453	27.61426874
454	27.6128614
455	27.60622944
456	27.60142638
457	27.59673732
458	27.5960976
459	27.59429409
460	27.59379234
461	27.58960966
462	27.58189645
463	27.57330083
464	27.56672301
465	27.56251217
466	27.55813503
467	27.55364928
468	27.54748548
469	27.54697973
470	27.54631124
471	27.5389054
472	27.53322311
473	27.52550586
474	27.52185388
475	27.51964713
476	27.51900736
477	27.51543789
478	27.50682886
479	27.49765878
480	27.49276196
481	27.4880086
482	27.48136833
483	27.48088707
484	27.4720437
485	27.47156661
486	27.46573609
487	27.45926356
488	27.45877946
489	27.45435563
490	27.4516711
491	27.44382268
492	27.44341802
493	27.43929783
494	27.43623094
495	27.42841849
496	27.42085286
497	27.41969837
498	27.41728288
499	27.40962155
500	27.40453364
501	27.39916569
502	27.39599707
503	27.39169656
504	27.38710428
505	27.38664914
506	27.38612751
507	27.38006966
508	27.37586056
509	27.37059076
510	27.37020383
511	27.3695298
512	27.36369098
513	27.36166582
514	27.35505647
515	27.34704898
516	27.34664576
517	27.34133192
518	27.34056415
519	27.34020012
520	27.3383956
521	27.33486158
522	27.33473351
523	27.33056907
524	27.32542013
525	27.31840927
526	27.31343606
527	27.31302649
528	27.3120437
529	27.30612314
530	27.30556687
531	27.2971359
532	27.29218964
533	27.29178243
534	27.28469227
535	27.28454616
536	27.27705655
537	27.27691456
538	27.27108286
539	27.26543798
540	27.25852026
541	27.2526815
542	27.25256583
543	27.24700856
544	27.24253279
545	27.23750522
546	27.23144513
547	27.22460551
548	27.22401015
549	27.21938045
550	27.21194919
551	27.20595065
552	27.20069679
553	27.19503431
554	27.18814772
555	27.18641459
556	27.1856846
557	27.1798331
558	27.17969372
559	27.1776112
560	27.17349622
561	27.17290762
562	27.16702167
563	27.16688469
564	27.16674763
565	27.1616067
566	27.16123824
567	27.15722327
568	27.15709226
569	27.15679748
570	27.15422083
571	27.1473367
572	27.14278898
573	27.14183205
574	27.1390047
575	27.13477235
576	27.13079253
577	27.13016053
578	27.12943219
579	27.12554286
580	27.12500731
581	27.12029051
582	27.12019112
583	27.11644818
584	27.11174373
585	27.11150659
586	27.10701615
587	27.10499002
588	27.104254
589	27.10405632
590	27.10128451
591	27.09699875
592	27.09688371
593	27.09677027
594	27.09211655
595	27.09202554
596	27.08567053
597	27.08161634
598	27.08037135
599	27.0747311
600	27.07057415
601	27.06355661
602	27.06305841
603	27.05751942
604	27.05378141
605	27.04735684
606	27.04384836
607	27.03855606
608	27.03475917
609	27.02999395
610	27.02530408
611	27.02001447
612	27.01889083
613	27.01877958
614	27.01352352
615	27.00823505
616	27.00354402
617	27.00208459
618	26.99526305
619	26.99018084
620	26.98943728
621	26.98745512
622	26.98231054
623	26.97818966
624	26.97776353
625	26.97724243
626	26.97313019
627	26.96932383
628	26.96396827
629	26.95890793
630	26.95782456
631	26.95204206
632	26.9469762
633	26.94202298
634	26.93775875
635	26.93219475
636	26.92752124
637	26.92173491
638	26.91675967
639	26.9134908
640	26.90892559
641	26.90845291
642	26.90814258
643	26.90455197
644	26.90445229
645	26.90214329
646	26.89797631
647	26.89270315
648	26.88658059
649	26.88188403
650	26.87684428
651	26.87111061
652	26.86651819
653	26.86440972
654	26.86431426
655	26.85908404
656	26.85440984
657	26.84644779
658	26.84106284
659	26.83076556
660	26.82575668
661	26.82225825
662	26.81819578
663	26.8148932
664	26.8112262
665	26.80780341
666	26.80367723
667	26.80358041
668	26.80179884
669	26.79847819
670	26.79265885
671	26.79222123
672	26.7914413
673	26.78576891
674	26.7856759
675	26.78082468
676	26.77728329
677	26.77331361
678	26.7680685
679	26.76797747
680	26.76702795
681	26.76616217
682	26.76607147
683	26.76125331
684	26.75692315
685	26.74846396
686	26.74790967
687	26.74131565
688	26.73515201
689	26.73127001
690	26.72560622
691	26.72193389
692	26.72045331
693	26.71553285
694	26.70517903
695	26.70470496
696	26.69920489
697	26.69632822
698	26.69130011
699	26.68714916
